階層,人数,業種,年,総額
700万円以下,328558,宿泊業，飲食サービス業,2023,50978
800万円以下,301998,宿泊業，飲食サービス業,2023,40566
900万円以下,131022,宿泊業，飲食サービス業,2023,15489
"1,000万円以下",123366,宿泊業，飲食サービス業,2023,13057
"1,500万円以下",243401,宿泊業，飲食サービス業,2023,20446
"2,000万円以下",46095,宿泊業，飲食サービス業,2023,2480
"2,500万円以下",24702,宿泊業，飲食サービス業,2023,1080
"2,500万円超",52594,宿泊業，飲食サービス業,2023,1261
100万円以下,422727,宿泊業，飲食サービス業,2022,554023
200万円以下,606354,宿泊業，飲食サービス業,2022,439646
300万円以下,690624,宿泊業，飲食サービス業,2022,276367
400万円以下,910271,宿泊業，飲食サービス業,2022,258641
500万円以下,825661,宿泊業，飲食サービス業,2022,183876
600万円以下,558977,宿泊業，飲食サービス業,2022,102554
700万円以下,292077,宿泊業，飲食サービス業,2022,45195
800万円以下,269072,宿泊業，飲食サービス業,2022,36336
900万円以下,168638,宿泊業，飲食サービス業,2022,19889
"1,000万円以下",77716,宿泊業，飲食サービス業,2022,8250
"1,500万円以下",236290,宿泊業，飲食サービス業,2022,19676
"2,000万円以下",112811,宿泊業，飲食サービス業,2022,6399
"2,500万円以下",11360,宿泊業，飲食サービス業,2022,491
"2,500万円超",53131,宿泊業，飲食サービス業,2022,1095
100万円以下,460605,宿泊業，飲食サービス業,2021,606687
200万円以下,657299,宿泊業，飲食サービス業,2021,476644
300万円以下,926184,宿泊業，飲食サービス業,2021,370972
400万円以下,1094154,宿泊業，飲食サービス業,2021,314813
500万円以下,915944,宿泊業，飲食サービス業,2021,204431
600万円以下,518737,宿泊業，飲食サービス業,2021,94836
700万円以下,303861,宿泊業，飲食サービス業,2021,46822
800万円以下,191894,宿泊業，飲食サービス業,2021,25592
900万円以下,118571,宿泊業，飲食サービス業,2021,14048
"1,000万円以下",74395,宿泊業，飲食サービス業,2021,7893
"1,500万円以下",154452,宿泊業，飲食サービス業,2021,12775
"2,000万円以下",27269,宿泊業，飲食サービス業,2021,1513
"2,500万円以下",28121,宿泊業，飲食サービス業,2021,1330
"2,500万円超",68794,宿泊業，飲食サービス業,2021,1716
100万円以下,509604,宿泊業，飲食サービス業,2020,674333
200万円以下,699055,宿泊業，飲食サービス業,2020,491170
300万円以下,935863,宿泊業，飲食サービス業,2020,372979
400万円以下,1061069,宿泊業，飲食サービス業,2020,304563
500万円以下,751496,宿泊業，飲食サービス業,2020,169422
600万円以下,533653,宿泊業，飲食サービス業,2020,96996
700万円以下,288340,宿泊業，飲食サービス業,2020,45070
800万円以下,171605,宿泊業，飲食サービス業,2020,23100
900万円以下,154196,宿泊業，飲食サービス業,2020,18145
"1,000万円以下",100700,宿泊業，飲食サービス業,2020,10550
"1,500万円以下",249067,宿泊業，飲食サービス業,2020,20225
"2,000万円以下",43769,宿泊業，飲食サービス業,2020,2553
"2,500万円以下",20344,宿泊業，飲食サービス業,2020,905
"2,500万円超",30390,宿泊業，飲食サービス業,2020,604
100万円以下,461698,宿泊業，飲食サービス業,2019,603056
200万円以下,720582,宿泊業，飲食サービス業,2019,523475
300万円以下,794046,宿泊業，飲食サービス業,2019,316282
400万円以下,856073,宿泊業，飲食サービス業,2019,247288
500万円以下,798009,宿泊業，飲食サービス業,2019,177983
600万円以下,626780,宿泊業，飲食サービス業,2019,114362
700万円以下,359972,宿泊業，飲食サービス業,2019,55443
800万円以下,193882,宿泊業，飲食サービス業,2019,25888
900万円以下,108390,宿泊業，飲食サービス業,2019,12726
"1,000万円以下",34759,宿泊業，飲食サービス業,2019,3666
"1,500万円以下",215926,宿泊業，飲食サービス業,2019,17370
"2,000万円以下",71829,宿泊業，飲食サービス業,2019,4262
"2,500万円以下",20645,宿泊業，飲食サービス業,2019,919
"2,500万円超",44741,宿泊業，飲食サービス業,2019,1227
100万円以下,461578,宿泊業，飲食サービス業,2018,592295
200万円以下,733443,宿泊業，飲食サービス業,2018,531557
300万円以下,841189,宿泊業，飲食サービス業,2018,333302
400万円以下,1073357,宿泊業，飲食サービス業,2018,306787
500万円以下,811952,宿泊業，飲食サービス業,2018,181883
600万円以下,531559,宿泊業，飲食サービス業,2018,97307
700万円以下,310569,宿泊業，飲食サービス業,2018,48294
800万円以下,150500,宿泊業，飲食サービス業,2018,20390
